command,amount used
check,74223
pic,25688
wiki,7100
hint,2839
leaderboard,1332
skip,671
race,319
userscore,241
info,189
race view,170
race start,115
streak,92
help,72
score,61
stats,51
missed,48
invite,23
streak leaderboard,19
send_as_bot,16
frequency,16
botinfo,16
ping,13
session,11
race stop,10
list,9
groups,9
export,9
session edit,4
session start,3
session stop,1
ignore,1
