fossils,total missed,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08
Platyceras,289,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,0,1,1,0,3,6,12,13,4,7,4,1,0,3,0,0,1,0,1,1,0,0,0,1,1,0,0,0,2,1,0,1,0,0,4,2,6,7,2,3,1,1,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0
Ichthyosauria,282,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,17,1,7,3,8,3,1,0,1,0,1,9,6,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,4,0,4,4,1,0,0,1,0,0,3,0,5,1,1,2,3,2,0,1,0,1,0,1,0,0,0,3,3,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0
Lepidodendron,279,0,0,0,0,0,0,0,0,1,1,0,10,0,0,1,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,4,4,0,6,6,0,0,0,1,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,4,1,6,5,7,1,1,0,0,0,0,1,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,10,0
Tyrannosaurus,269,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,1,4,0,2,2,3,0,0,1,0,2,1,0,0,0,1,0,3,0,1,0,1,0,0,0,7,3,4,2,1,1,1,0,2,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,10,4,0,0,2,0,0,0,0,2,1,1,0,0,0,0,1,0,4
Composita,268,0,0,0,0,0,0,0,0,5,5,0,2,0,0,3,0,5,0,0,0,1,0,1,1,0,0,0,0,0,1,7,3,18,2,5,12,8,1,1,1,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,4,5,4,1,0,1,0,0,0,1,6,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Psaronius,267,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,8,4,4,5,0,3,1,0,0,1,0,0,3,1,9,0,1,0,0,0,0,1,0,0,0,1,0,0,0,7,2,7,4,1,1,1,0,0,1,0,1,0,3,3,2,1,1,1,0,1,1,0,1,0,0,1,1,4,0,0,1,0,1,0,0,0,1,0,0,9,0,0,1,0,0
Petrified Wood,264,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,2,0,0,1,0,1,0,0,0,2,2,4,3,1,3,1,0,2,0,0,1,1,0,3,1,0,0,1,1,0,3,0,0,1,0,1,0,0,2,3,3,4,3,0,2,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,1,0,7,0,0,0,0,0,0,1
Velociraptor,245,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,8,1,5,0,3,1,0,4,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,1,2,7,4,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,4,1,3,0,1,0,0,0
Amber,230,0,0,0,0,0,0,0,0,3,1,1,0,0,0,3,0,1,0,1,0,0,1,2,0,0,1,0,0,0,0,3,0,2,1,1,1,3,2,1,1,2,0,0,0,1,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,1,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,0
Acer,228,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,4,5,3,2,0,3,1,0,1,1,1,1,0,1,0,1,2,1,1,0,0,1,0,0,0,0,2,2,4,3,2,0,2,0,0,2,1,0,1,3,6,0,1,1,1,0,0,4,0,1,0,0,0,1,3,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,1,0
Eryops,224,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,5,2,8,3,1,1,0,1,2,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,8,1,2,0,0,0,1,1,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,2,0,1,0,5,0,0
Chalk,221,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,1,2,0,3,8,6,0,2,0,5,1,0,2,0,0,1,0,1,4,1,0,0,1,1,0,0,0,0,0,0,2,0,0,3,2,2,0,0,0,0,1,0,1,0,1,3,0,0,4,0,0,1,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3
Shale,219,0,0,0,1,0,0,0,0,0,7,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,4,0,4,1,0,1,3,0,1,2,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,1,1,0,0,0,0,4,3,0,3,0,1,1,1,0,2,0,0,0,1,2,2,3,1,1,2,0,1,0,1,3,1,2,0,0,0,1,1,0,1
Baculites,216,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,1,1,6,12,0,0,1,1,0,0,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,3,2,1,1,0,1,0,0,0,0,2,1,0,2,0,1,1,0,0,1,1,0,1,1,0,1,2,0,0,1,0,0,0,0,1,0,3,1,0,1,0,0,0,0
Pecopteris,215,0,0,0,0,0,0,0,0,3,0,0,7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,7,3,1,3,0,0,0,0,0,1,4,0,1,1,1,0,2,0,0,3,0,0,0,1,0,0,0,4,0,3,6,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,2,0,1
Parasaurolophus,213,0,0,0,1,0,0,0,0,4,4,0,3,0,0,1,2,1,0,0,0,1,0,2,0,1,0,0,1,0,0,3,0,2,0,2,1,2,0,1,2,1,0,3,6,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,6,3,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,1,0,0,0,0,0,4
Calymene,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,11,6,1,1,2,1,0,0,0,1,1,5,0,4,1,0,2,0,2
Latimeria,208,0,0,0,0,0,0,0,0,5,2,0,8,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,3,5,12,3,10,3,8,1,0,0,1,0,2,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,1,0,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
Archaeopteryx,207,0,0,0,1,0,0,0,0,0,3,0,4,0,0,1,1,4,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,3,1,1,2,2,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,3,10,2,3,0,3,0,1,1,0,4,0,2,0,0,0,0,0,1,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,1
Orthocerida,206,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,1,1,8,1,0,0,0,0,1,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,5,0,0,0,1,0,0,0,4,1,0,7,2,3,0,0,0,0,0,1,0,1,0,1,3,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0
Sandstone,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,2,0,0,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dilophosaurus,203,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,5,2,15,8,16,1,1,1,1,0,1,5,3,1,0,2,0,0,1,0,0,0,1,0,2,0,0,1,4,0,3,6,4,0,1,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Juresania,201,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,5,1,0,18,11,5,3,8,1,0,2,0,0,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,6,4,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,2,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0
Stegosaurus,197,0,0,1,0,0,0,0,0,3,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,8,0,3,0,0,0,1,0,0,0,4,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,5,1,2,4,1,2,0,2,0,0,2,0,3,0,0,1,0,0,0,1,0,1,0,1,1,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Xiphactinus,183,0,0,0,1,0,0,0,0,9,0,1,1,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,3,0,2,2,1,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,10,4,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,1,0
Dactylioceras,177,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,0,0,2,5,1,2,2,0,2,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,3,0,0,2,0,0,0,0,2,1,0,0,1,0,1,0,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
Ankylosaurus,176,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,3,1,1,2,0,0,1,1,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,4,3,7,2,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0
Homo Sapiens,174,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Septastrea,173,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,5,1,1,2,0,0,0,1,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,7,2,1,0,0,0,2,0,0,5,1,0,0,0,4,0,0,0,1,0,0,1,0,0,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Echinoidea,172,0,0,0,2,0,0,0,0,6,5,0,1,1,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,3,0,1,2,0,0,1,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,6,3,0,1,1,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Coprolite,171,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
Belemnitella,171,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,2,0,0,0,1,0,0,4,4,0,0,0,0,1,2,0,7,5,1,1,5,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,4,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,3,0,0,0,0,2,2,1
Leptaena,170,0,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5,6,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,1,0,0,0
Heliophyllum,170,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,2,2,1,6,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,6,2,6,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3,0,1
Crinoidea,170,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,4,1,2,6,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,3,5,2,0,1,0,0,0,1,0,1,1,0,3,0,0,6,0,1,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Ophiuroidea,168,0,0,0,1,0,0,0,0,11,4,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,0,2,0,1,0,0,0,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0
Rafinesquina,165,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,1,0,0,0,0,0,1,2,0,0,0,0,0,3,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,3,3,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
Metasequoia,159,0,0,0,0,0,0,0,0,7,2,0,3,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,1,1,0,2,0,0,2,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Elrathia,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,7,1,0,1,1,1,1,0,1,0,0,1,2,1,0,0,0,0
Eldredgeops,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,11,7,0,0,2,1,0,0,0,1,0,1,0,1,0,0,1,0,1
Plesiosauria,148,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,3,6,1,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,5,0,4,2,1,2,2,0,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0
Cypraea,144,0,0,0,0,0,0,0,0,1,4,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,0,0,2,0,1,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Knightia,140,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,3,8,2,0,1,0,0,1,3,3,0,2,2,0,0,2,0,1,0,0,1,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1,1
Dimetrodon,139,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,8,3,8,1,2,0,0,0,1,0,0,0,0,8,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,2,7,4,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1
Annularia,139,0,0,0,0,0,0,0,0,9,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Diplocaulus,138,0,0,0,0,0,0,0,0,3,1,0,3,0,0,2,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,6,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
Mucrospirifer,137,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,1,0,0,1,0,0,1,1,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,3,1
Tiktaalik,134,0,1,0,0,0,0,0,0,2,1,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,5,0,0,1,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stromatolite,132,0,0,0,0,0,0,0,1,6,1,0,1,0,0,0,1,7,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,2,0,1,2,2,1,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,9,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0
Bothriolepis,130,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,3,0,0,1,0,0,2,0,0,1,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,5,11,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Calamites,128,0,0,0,1,0,0,0,0,1,5,0,4,1,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,4,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Asteroidea,128,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,1,0,1,7,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0
Populus,127,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,2,3,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,2,1
Megacerops,127,0,0,0,0,0,0,0,0,5,0,0,7,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,3,1,3,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
Crocodilia,124,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,4,1,7,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,2,4,4,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
Halysites,121,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Conus,121,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,2,1,0,1,0,5,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carcharocles Megalodon,120,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,3,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0
Titanis,117,0,0,0,0,0,0,0,0,9,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,1,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hydnoceras,108,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,4,0,1,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
