username#discrim,current streak,max streak
moxhi#8856,1,1
casspea#0,1,2
noahjb#0,1,7
themi#6348,1,8
thesleepypp#0,1,2
DTT#8950,1,1
__socrates#0,1,1
olwi#0,1,5
s_e__b_a#0,1,1
abcxyz#8969,1,5
qiaochloe#0,1,15
abstractavocet#0,1,1
Intallica#0839,1,1
ans420#0,1,1
enlin.#0,1,4
sophicle#0,1,6
_chewy__#0,1,1
dlpi#0,1,1
wavinglywavingly#0394,1,24
rip2002#0,1,38
olie#4355,1,1
gnati#0,1,3
m0omoomilk#0,1,1
kysolaris#0,1,1
rareharambebenson.#0,1,15
Eshaam Bhattad#3004,1,97
LeoLion989#2837,1,12
nervous.rex#0,1,36
danglesbanana#0,1,8
fwedish#0191,1,8
aelin#3189,1,14
Deleted User 16017d46#0093,1,4
telkey#0,1,1
slackerwastaken#0,1,15
pm2017#0,1,1
ninxeas#0,1,4
nathan#1000,1,12
sentientrock#0,1,1
thatsiracha#0,1,1
realnitril#0,1,15
sockura.#0,1,1
Barborygor#3526,1,1
dan.k.memes#0,1,1
.bigjijiman#0,1,1
kenji_of_east#0,1,2
edolphin232#0,1,1
crackerjack2506#0,1,12
paingu.#0,1,1
dc1mousavi#9805,1,2
Deleted User 38529714#6471,1,1
fire.ninja#0,1,47
LEMICKEY6#8106,0,2
joshloydmasonbrock#6514,0,0
rosequartz7554#0,0,0
morcaca#0,0,0
definitelynotzac#5207,0,0
snapninja#0,0,0
SweatyThunder#8621,0,0
Yinaro of Kekendorkk Junior High#1099,0,0
Deleted User 33a4c944#4766,0,0
hyperquark#0,0,3
sanjay#9533,0,0
GoldHawk6#1552,0,0
!?#3103,0,0
cheezwheels#0,0,0
sukrete#0,0,0
RedFett687#5750,0,1
Deleted User 26d08ad7#4284,0,0
0511#0,0,0
a-tokle1#2062,0,0
mocha5086#0,0,5
Hunter Xu#3771,0,1
bemusedant#0,0,0
splendidemendax#3686,0,0
corgilver#0,0,3
Scarlet Witch#9738,0,9
_frostberry#0,0,7
couch potato#2330,0,9
atreya_#0,0,14
Angelas biggest fan#6597,0,1
PiePie#3550,0,0
medaking1000#0,0,1
anhinga#2558,0,0
Mwang#7052,0,0
jujistu#0,0,0
xXHungerXx#2660,0,0
megan8882#0,0,2
mzsyed#0,0,0
shivali#7997,0,0
akshay9168#0,0,0
dasqueakyrager#0,0,0
Bryanshin#5684,0,3
izzigang#4328,0,2
me1234#4786,0,0
suben#6044,0,0
polaris24#0,0,2
multiple darshes#5705,0,0
green_dino_98#0,0,1
idk._.honestly#0,0,0
lemon.aids.#0,0,0
morarobustfan#0,0,2
sussyrock#6226,0,5
carmenm#4593,0,8
Russianspy#4521,0,5
.diyaaaaa#0,0,0
Tanmay#3123,0,5
orange_juice#5912,0,0
shoelace_.#0,0,0
hboy8#0,0,0
Alan Jegan#3648,0,3
chungus1585#0,0,2
agneg05#0,0,0
thysoulofwit#0,0,0
starfishpanda#0,0,0
Deleted User 51782452#1518,0,11
It's_A_Bumblefly#3998,0,4
