command,amount used
check,430657
pic,161666
hint,26611
skip,16709
leaderboard,8100
race,6931
race start,4661
userscore,2852
info,2795
race view,876
race stop,842
streak,780
help,773
score,509
session,442
groups,308
wiki,267
stats,226
invite,195
session start,155
missed,137
streak leaderboard,130
session stop,123
session edit,105
list,71
export,55
frequency,51
ping,47
ignore,34
botinfo,30
send_as_bot,24
correct,7
leave,4
ban,2
test,1
